movie,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: The Curse of the Black Pearl,The Pirates! In an Adventure with Scientists!,Pirates of the Caribbean: At World's End,"20,000 Leagues Under the Sea"
Men in Black 3,Timecop,Men in Black II,The Helix... Loaded,Men in Black,In Time
The Hobbit: The Battle of the Five Armies,The Hobbit: An Unexpected Journey,The Hobbit: The Desolation of Smaug,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers
The Amazing Spider-Man,The Amazing Spider-Man 2,Spider-Man 3,Spider-Man,Hook,"I Love You, Man"
Robin Hood,Robin Hood: Prince of Thieves,Rango,Nicholas Nickleby,I Am Number Four,Puss in Boots
The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Two Towers,Eragon
The Golden Compass,The BFG,Puss in Boots,Alpha and Omega: The Legend of the Saw Tooth Cave,Hugo,Inkheart
King Kong,"20,000 Leagues Under the Sea",The Black Hole,Supporting Characters,Ice Age: Continental Drift,Serenity
Titanic,Captain Phillips,The Notebook,Ghost Ship,In the Heart of the Sea,Poseidon
Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Iron Man 3,Avengers: Age of Ultron,The Avengers
Battleship,Independence Daysaster,Titan A.E.,Impostor,Final Fantasy: The Spirits Within,The 5th Wave
Jurassic World,Jurassic Park,The Lost World: Jurassic Park,Journey to the Center of the Earth,A Sound of Thunder,Walking With Dinosaurs
Skyfall,Never Say Never Again,Spectre,Quantum of Solace,Octopussy,Dr. No
Spider-Man 2,Spider-Man 3,Spider-Man,The Amazing Spider-Man 2,The Amazing Spider-Man,Hellboy II: The Golden Army
Iron Man 3,Iron Man 2,Iron Man,Avengers: Age of Ultron,Captain America: Civil War,X-Men
Alice in Wonderland,Alice Through the Looking Glass,Mirrormask,Spirited Away,Charlie and the Chocolate Factory,The Chronicles of Narnia: The Voyage of the Dawn Treader
X-Men: The Last Stand,X2,X-Men,X-Men: Days of Future Past,X-Men Origins: Wolverine,X-Men: First Class
Monsters University,"Monsters, Inc.",Monster House,Dinosaur,Fantasia 2000,Bambi
Transformers: Revenge of the Fallen,Transformers,Transformers: Dark of the Moon,Transformers: Age of Extinction,X-Men Origins: Wolverine,The Helix... Loaded
Transformers: Age of Extinction,Transformers: Revenge of the Fallen,Transformers: Dark of the Moon,Transformers,Riddick,Star Trek: Insurrection
Oz: The Great and Powerful,Legends of Oz: Dorothy's Return,The Wizard of Oz,Percy Jackson: Sea of Monsters,The Chronicles of Narnia: The Voyage of the Dawn Treader,Night at the Museum: Secret of the Tomb
The Amazing Spider-Man 2,The Amazing Spider-Man,Spider-Man 3,Spider-Man,Pan,Forgetting Sarah Marshall
TRON: Legacy,Transformers,2001: A Space Odyssey,The Thirteenth Floor,Spy Hard,Pokémon: Spell of the Unknown
Cars 2,Cars,The Croods,The Adventures of Rocky & Bullwinkle,Ice Age: Continental Drift,Alpha and Omega: The Legend of the Saw Tooth Cave
Green Lantern,Jupiter Ascending,U.F.O.,Fantastic Four,Avengers: Age of Ultron,I Am Number Four
Toy Story 3,Toy Story,Toy Story 2,The 40 Year Old Virgin,The Simpsons Movie,Larry Crowne
Terminator Salvation,The Terminator,Terminator 2: Judgment Day,Terminator Genisys,Terminator 3: Rise of the Machines,The Book of Eli
Furious 7,A Man Apart,The Night Visitor,Dead Man's Shoes,Oldboy,Meet the Deedles
World War Z,Megiddo: The Omega Code 2,Teacher's Pet,The Omega Code,Left Behind,Brooklyn Rules
X-Men: Days of Future Past,X-Men: The Last Stand,X2,X-Men: Apocalypse,X-Men: First Class,X-Men
Star Trek Into Darkness,Star Trek Beyond,Star Trek IV: The Voyage Home,Captain America: Civil War,Captain America: The First Avenger,Star Trek: The Motion Picture
Jack the Giant Slayer,Nicholas Nickleby,Henry & Me,Delgo,DragonHeart,The Last Airbender
The Great Gatsby,The End of the Affair,Alone With Her,"Girl, Interrupted",Redemption Road,The Prestige
Prince of Persia: The Sands of Time,Night Watch,Epic,Valley of the Wolves: Iraq,Rise of the Guardians,The Mortal Instruments: City of Bones
Pacific Rim,Oblivion,The World's End,Red Tails,Titan A.E.,Firefox
Transformers: Dark of the Moon,Transformers: Revenge of the Fallen,Transformers,Transformers: Age of Extinction,Lost in Space,Escape from the Planet of the Apes
Indiana Jones and the Kingdom of the Crystal Skull,Raiders of the Lost Ark,National Treasure,Indiana Jones and the Last Crusade,Indiana Jones and the Temple of Doom,Lara Croft: Tomb Raider
The Good Dinosaur,Stuart Little,The Princess and the Frog,The Croods,The Brave Little Toaster,Spirit: Stallion of the Cimarron
Brave,Frozen,Krull,Shrek the Third,The Tale of Despereaux,Maleficent
Star Trek Beyond,Star Trek: Nemesis,Star Trek Into Darkness,Star Trek V: The Final Frontier,Star Trek VI: The Undiscovered Country,Star Trek: First Contact
WALL·E,The Black Hole,Bicentennial Man,Galaxina,Robot & Frank,Meet Dave
Rush Hour 3,Rush Hour 2,Lethal Weapon 4,The Replacement Killers,The Helix... Loaded,Hav Plenty
2012,The Core,Independence Day: Resurgence,G-Force,Space Battleship Yamato,Journey to the Center of the Earth
A Christmas Carol,The Muppet Christmas Carol,A Charlie Brown Christmas,Arthur Christmas,Bad Santa,Scrooged
Jupiter Ascending,Ender's Game,Titan A.E.,Man of Steel,The Helix... Loaded,Green Lantern
The Legend of Tarzan,Roar,Jungle Shuffle,George of the Jungle,Rio 2,Silver Medalist
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Chronicles of Narnia: Prince Caspian,The Wizard of Oz,Epic Movie,Stardust,Into the Woods
X-Men: Apocalypse,X-Men: First Class,X-Men: Days of Future Past,X-Men,X2,X-Men: The Last Stand
The Dark Knight,The Dark Knight Rises,Batman Begins,Batman Returns,Batman Forever,Batman & Robin
Up,Raising Helen,The Truman Show,Memoirs of an Invisible Man,Ice Age: Dawn of the Dinosaurs,The Wild Thornberrys Movie
Monsters vs Aliens,Titan A.E.,Race to Witch Mountain,U.F.O.,VeggieTales: The Pirates Who Don't Do Anything,Extreme Ops
Iron Man,Iron Man 2,Iron Man 3,Avengers: Age of Ultron,Captain America: Civil War,The Avengers
Hugo,Extremely Loud & Incredibly Close,The Young and Prodigious T.S. Spivet,Little Boy,The Crime of Padre Amaro,Ponyo
Wild Wild West,The Helix... Loaded,The Adventures of Rocky & Bullwinkle,Jekyll and Hyde ... Together Again,Around the World in 80 Days,The Guilt Trip
The Mummy: Tomb of the Dragon Emperor,The Mummy Returns,Curse of the Golden Flower,Dragonball Evolution,Pete's Dragon,Mirrormask
Suicide Squad,Spawn,Thunderbirds,Superhero Movie,Megamind,Invasion U.S.A.
Evan Almighty,Zookeeper,The Croods,Over the Hedge,The Master of Disguise,My Big Fat Greek Wedding 2
Edge of Tomorrow,Aliens vs Predator: Requiem,The 5th Wave,Independence Day,Independence Daysaster,Impostor
Waterworld,The Last Airbender,Escape Plan,Fortress,X-Men Origins: Wolverine,Shipwrecked
G.I. Joe: The Rise of Cobra,G.I. Joe: Retaliation,The Devil's Tomb,Megiddo: The Omega Code 2,G-Force,Chain of Command
Inside Out,Up,Raising Helen,The Cookout,Alvin and the Chipmunks: The Road Chip,"Synecdoche, New York"
The Jungle Book,The Jungle Book 2,Curious George,Jungle Shuffle,The Book of Life,Roar
Iron Man 2,Iron Man 3,Iron Man,Avengers: Age of Ultron,Captain America: Civil War,Ant-Man
Snow White and the Huntsman,Snow White and the Seven Dwarfs,Mirror Mirror,The Snow Queen,The Huntsman: Winter's War,One Night with the King
Maleficent,Brave,The Prisoner of Zenda,DragonHeart,Stardust,The True Story of Puss 'n Boots
Dawn of the Planet of the Apes,Battle for the Planet of the Apes,Blindness,Rise of the Planet of the Apes,The Book of Eli,9
The Lovers,Veer-Zaara,The Time Traveler's Wife,Virgin Territory,The Horseman on the Roof,Beyond Borders
47 Ronin,Teenage Mutant Ninja Turtles III,The Wolverine,The Last Samurai,Jackass 3D,Silver Medalist
Captain America: The Winter Soldier,Captain America: Civil War,Captain America: The First Avenger,The Avengers,Ant-Man,Iron Man 3
Shrek Forever After,Shrek 2,Shrek the Third,Shrek,Puss in Boots,The Smurfs 2
Tomorrowland,Robots,Back to the Future,Lost in Space,Back to the Future Part II,The Croods
Big Hero 6,Robots,Bicentennial Man,30 Minutes or Less,Bill & Ted's Bogus Journey,VeggieTales: The Pirates Who Don't Do Anything
Wreck-It Ralph,Grandma's Boy,Pixels,Nerve,Gamer,Casino Royale
The Polar Express,The Book of Life,The Brave Little Toaster,Nicholas Nickleby,Delgo,Elf
Independence Day: Resurgence,Independence Daysaster,Independence Day,2012,Meet Dave,Space Battleship Yamato
How to Train Your Dragon,How to Train Your Dragon 2,Dragon Nest: Warriors' Dawn,Dragon Hunters,Pete's Dragon,George and the Dragon
Terminator 3: Rise of the Machines,The Terminator,Terminator Salvation,Terminator 2: Judgment Day,Terminator Genisys,Highlander: Endgame
Guardians of the Galaxy,Avengers: Age of Ultron,Lost in Space,Ender's Game,The Avengers,The Time Machine
Interstellar,Silent Running,Space Pirate Captain Harlock,The Martian,Apollo 13,Moonraker
Inception,Duplex,The Helix... Loaded,Star Trek II: The Wrath of Khan,Timecop,Chicago Overcoat
Shin Godzilla,Godzilla 2000,A Monster in Paris,Red Sonja,Feast,Mary Reilly
The Hobbit: An Unexpected Journey,The Hobbit: The Desolation of Smaug,The Hobbit: The Battle of the Five Armies,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King
The Fast and the Furious,2 Fast 2 Furious,Stone Cold,Point Break,Fast Five,Need for Speed
The Curious Case of Benjamin Button,"Lovely, Still",Code 46,The Believer,All Good Things,White Noise 2: The Light
X-Men: First Class,X-Men: Apocalypse,X-Men,X2,X-Men: Days of Future Past,X-Men: The Last Stand
The Hunger Games: Mockingjay - Part 2,The Hunger Games: Catching Fire,The Hunger Games,The Hunger Games: Mockingjay - Part 1,Journey 2: The Mysterious Island,Mad Max Beyond Thunderdome
The Sorcerer's Apprentice,Dragonslayer,Harry Potter and the Chamber of Secrets,Practical Magic,30 Minutes or Less,Harry Potter and the Order of the Phoenix
Poseidon,Ghost Ship,Raise the Titanic,Silver Medalist,Serenity,"20,000 Leagues Under the Sea"
Alice Through the Looking Glass,Alice in Wonderland,Mad Max Beyond Thunderdome,Resident Evil: Afterlife,Resident Evil: Retribution,Insurgent
Shrek the Third,Shrek 2,Shrek Forever After,Shrek,Brave,Your Highness
Warcraft,Krull,Harry Potter and the Goblet of Fire,The Lord of the Rings: The Two Towers,Underworld: Rise of the Lycans,The Hobbit: An Unexpected Journey
Terminator Genisys,Terminator 2: Judgment Day,Terminator Salvation,The Terminator,Terminator 3: Rise of the Machines,The Time Machine
The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: Prince Caspian,The Croods,Eragon,Night at the Museum: Secret of the Tomb,National Lampoon's Vacation
Pearl Harbor,Tora! Tora! Tora!,The Quiet American,Flyboys,The Big Parade,Red Tails
Transformers,Transformers: Revenge of the Fallen,Transformers: Dark of the Moon,TRON: Legacy,Nowhere to Run,Transformers: Age of Extinction
Alexander,Flyboys,Red Tails,300,Agora,One Man's Hero
Harry Potter and the Order of the Phoenix,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Half-Blood Prince,Harry Potter and the Philosopher's Stone
Harry Potter and the Goblet of Fire,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Order of the Phoenix,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Harry Potter and the Half-Blood Prince
Hancock,Suicide Squad,Iron Man 2,My Super Ex-Girlfriend,Megamind,Fantastic 4: Rise of the Silver Surfer
I Am Legend,28 Days Later,The Day After Tomorrow,Resident Evil: Extinction,The Forsaken,The Book of Eli
Charlie and the Chocolate Factory,Willy Wonka & the Chocolate Factory,Doogal,The Croods,Spirited Away,Big
Ratatouille,The Master of Disguise,The Hundred-Foot Journey,Simply Irresistible,TMNT,Rugrats in Paris: The Movie
Batman Begins,The Dark Knight,The Dark Knight Rises,Batman,Batman,Batman & Robin
Madagascar: Escape 2 Africa,Madagascar,Madagascar 3: Europe's Most Wanted,Happy Feet,Fantasia 2000,Mr. Popper's Penguins
Night at the Museum: Battle of the Smithsonian,Night at the Museum,Night at the Museum: Secret of the Tomb,Jonah: A VeggieTales Movie,Inkheart,VeggieTales: The Pirates Who Don't Do Anything
X-Men Origins: Wolverine,X2,X-Men: The Last Stand,The Wolverine,X-Men,X-Men: Apocalypse
The Matrix Revolutions,The Matrix Reloaded,The Matrix,Terminator Genisys,RoboCop 3,Red Planet
Frozen,Spirit: Stallion of the Cimarron,Aladdin,The Book of Life,Curious George,Delgo
The Matrix Reloaded,The Matrix Revolutions,The Matrix,Dark City,Commando,Blade Runner
Thor: The Dark World,Thor,Avengers: Age of Ultron,Ant-Man,Iron Man 3,Captain America: Civil War
Mad Max: Fury Road,Kites,The Book of Eli,Children of Men,The Helix... Loaded,Equilibrium
Angels & Demons,The Da Vinci Code,The Order,A Walk Among the Tombstones,Eye of the Beholder,Chain of Command
Thor,Thor: The Dark World,Avengers: Age of Ultron,Iron Man 3,Captain America: The First Avenger,Man of Steel
Bolt,Alvin and the Chipmunks: The Road Chip,Cars 2,The Croods,The Emperor's New Groove,TMNT
G-Force,Team America: World Police,The Adventures of Rocky & Bullwinkle,Zoom,Doogal,The Croods
Wrath of the Titans,Clash of the Titans,Percy Jackson & the Olympians: The Lightning Thief,Character,Immortals,The Mummy Returns
Dark Shadows,The Twilight Saga: Breaking Dawn - Part 2,Fright Night,Charlie and the Chocolate Factory,Blade II,The Croods
Mission: Impossible - Rogue Nation,Mission: Impossible - Ghost Protocol,xXx,Diamonds Are Forever,Mission: Impossible III,Mission: Impossible
The Wolfman,Blood and Chocolate,Red Riding Hood,Wolf,Cursed,The Howling
Bee Movie,Alvin and the Chipmunks: The Road Chip,Up,October Baby,Loser,Reign Over Me
Kung Fu Panda 2,Kung Fu Panda,Legend of a Rabbit,Kung Fu Panda 3,Kung Fu Hustle,Bulletproof Monk
The Last Airbender,Waterworld,Inkheart,Nicholas Nickleby,Jack the Giant Slayer,Krull
Mission: Impossible III,Mission: Impossible,Mission: Impossible II,Mission: Impossible - Rogue Nation,Mission: Impossible - Ghost Protocol,The Expendables 3
White House Down,Olympus Has Fallen,Absolute Power,In Her Line of Fire,G.I. Joe: Retaliation,My Fellow Americans
Mars Needs Moms,Escape from Planet Earth,Jimmy Neutron: Boy Genius,Stuart Little 2,Shipwrecked,Duma
Flushed Away,Ice Age: Continental Drift,Ice Age: The Meltdown,VeggieTales: The Pirates Who Don't Do Anything,Alpha and Omega: The Legend of the Saw Tooth Cave,The Lion of Judah
Pan,Hook,The Indian in the Cupboard,The Amazing Spider-Man 2,Last Action Hero,The Pirates! In an Adventure with Scientists!
Mr. Peabody & Sherman,Benji,White Fang,Shipwrecked,Nicholas Nickleby,Marley & Me
Troy,The Horseman on the Roof,Legends of the Fall,Kingdom of Heaven,The Mummy: Tomb of the Dragon Emperor,The Legend of Suriyothai
Madagascar 3: Europe's Most Wanted,Madagascar: Escape 2 Africa,Supercapitalist,Alvin and the Chipmunks: The Road Chip,Four Single Fathers,The Mummy Returns
Die Another Day,Licence to Kill,Never Say Never Again,GoldenEye,Octopussy,Diamonds Are Forever
Ghostbusters,The Helix... Loaded,MacGruber,Just Like Heaven,Khiladi 786,Sardaarji
Armageddon,Apollo 18,Moonraker,The Martian,Lockout,Space Cowboys
Men in Black II,Men in Black,Titan A.E.,Men in Black 3,Impostor,Independence Daysaster
Beowulf,Dungeons & Dragons: Wrath of the Dragon God,Silver Medalist,The Last Legion,Ice Age: Continental Drift,Small Soldiers
Kung Fu Panda 3,Kung Fu Panda,How to Train Your Dragon 2,My Big Fat Greek Wedding 2,Kung Fu Panda 2,Alpha and Omega: The Legend of the Saw Tooth Cave
Mission: Impossible - Ghost Protocol,Mission: Impossible - Rogue Nation,xXx,Act of Valor,Mission: Impossible III,Mission: Impossible
Rise of the Guardians,Return to Never Land,Epic,Foodfight!,Ink,Pokémon: Spell of the Unknown
Fun with Dick and Jane,King's Ransom,Next Day Air,Checkmate,Dear Wendy,Batman
The Last Samurai,47 Ronin,Seven Samurai,Tora! Tora! Tora!,Saints and Soldiers,The Wolverine
Exodus: Gods and Kings,Silver Medalist,The Prince of Egypt,Amidst the Devil's Wings,Noah,Extreme Ops
Star Trek,Star Trek III: The Search for Spock,Star Trek: The Motion Picture,Star Trek IV: The Voyage Home,Star Trek V: The Final Frontier,Star Trek VI: The Undiscovered Country
Spider-Man,Spider-Man 3,Spider-Man 2,The Amazing Spider-Man 2,The Amazing Spider-Man,Arachnophobia
How to Train Your Dragon 2,Eragon,How to Train Your Dragon,Dragon Nest: Warriors' Dawn,Dragon Hunters,George and the Dragon
Gods of Egypt,The Scorpion King,Clash of the Titans,The Secret of Kells,Stolen,Percy Jackson & the Olympians: The Lightning Thief
Stealth,Flyboys,Red Tails,G.I. Jane,Dune,Independence Day: Resurgence
Watchmen,The Helix... Loaded,The One,Whiteout,Shooter,Spawn
Lethal Weapon 4,Khiladi 786,Lethal Weapon 3,Silver Medalist,The Helix... Loaded,Amidst the Devil's Wings
Hulk,Shin Godzilla,The Incredible Hulk,The Island of Dr. Moreau,The Helix... Loaded,A Monster in Paris
G.I. Joe: Retaliation,G.I. Joe: The Rise of Cobra,Small Soldiers,Silent Trigger,Ballistic: Ecks vs. Sever,Capricorn One
Sahara,Silver Medalist,Wild Hogs,Fool's Gold,National Treasure,The Helix... Loaded
Final Fantasy: The Spirits Within,Independence Daysaster,Riddick,Titan A.E.,Battleship,Independence Day: Resurgence
Captain America: The First Avenger,Captain America: Civil War,Saints and Soldiers,Captain America: The Winter Soldier,Red Tails,Tora! Tora! Tora!
The World Is Not Enough,Never Say Never Again,Diamonds Are Forever,Casino Royale,On Deadly Ground,xXx
Master and Commander: The Far Side of the World,"20,000 Leagues Under the Sea",The Black Hole,King Kong,Titanic,Serenity
The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Eclipse,The Twilight Saga: New Moon,Twilight,Dracula Untold,Interview with the Vampire
Happy Feet Two,Happy Feet,Penguins of Madagascar,Mr. Popper's Penguins,Doug's 1st Movie,The Cookout
The Incredible Hulk,Iron Man 2,The Devil's Tomb,X-Men,Avengers: Age of Ultron,The Avengers
The BFG,The Golden Compass,Tom Jones,Jack the Giant Slayer,Black Knight,Pete's Dragon
The Revenant,Into the Grizzly Maze,The Edge,Ravenous,The Purge: Anarchy,I Am Wrath
Turbo,Speed Racer,Over the Hedge,Robots,Bambi,Dinosaur
Rango,Blazing Saddles,Alvin and the Chipmunks: The Road Chip,Over the Hedge,Return to Oz,A Million Ways to Die in the West
Penguins of Madagascar,Happy Feet Two,The Croods,Ice Age: Continental Drift,Foodfight!,Osmosis Jones
The Bourne Ultimatum,The Bourne Supremacy,Jason Bourne,The Bourne Identity,Hitman,Conspiracy Theory
Kung Fu Panda,Kung Fu Panda 2,Kung Fu Panda 3,Legend of a Rabbit,Aladdin,Kung Fu Hustle
Ant-Man,Captain America: Civil War,Iron Man 3,Iron Man 2,Iron Man,The Avengers
The Hunger Games: Catching Fire,The Hunger Games: Mockingjay - Part 2,The Hunger Games,The Hunger Games: Mockingjay - Part 1,Indie Game: The Movie,Allegiant
Home,Escape from Planet Earth,Planet 51,Meet Dave,The Hitchhiker's Guide to the Galaxy,Titan A.E.
War of the Worlds,Jersey Girl,House at the End of the Street,Commando,Domestic Disturbance,Love's Abiding Joy
Bad Boys II,Bad Boys,Scarface,2 Fast 2 Furious,Pain & Gain,Reno 911!: Miami
Puss in Boots,Silver Medalist,The True Story of Puss 'n Boots,Jonah: A VeggieTales Movie,127 Hours,Alpha and Omega: The Legend of the Saw Tooth Cave
Salt,Clear and Present Danger,The November Man,Bridge of Spies,Safe House,Topaz
Noah,Hoot,Mercy Streets,Take Shelter,Nicholas Nickleby,The Grace Card
The Adventures of Tintin,National Treasure,"20,000 Leagues Under the Sea",Ice Age: Continental Drift,Sahara,Pirates of the Caribbean: On Stranger Tides
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Chamber of Secrets,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Philosopher's Stone
Australia,Unbroken,Kangaroo Jack,Windtalkers,Letters from Iwo Jima,Captain America: The First Avenger
After Earth,The Crime of Padre Amaro,Ponyo,Space Battleship Yamato,Little Boy,Paa
Dinosaur,Dwegons,The Boxtrolls,Fantasia 2000,Over the Hedge,Darkness
Night at the Museum: Secret of the Tomb,Night at the Museum: Battle of the Smithsonian,Night at the Museum,Last Action Hero,The Chronicles of Narnia: The Voyage of the Dawn Treader,A Simple Wish
Megamind,The Helix... Loaded,Superhero Movie,Up,Alvin and the Chipmunks: The Road Chip,The Toxic Avenger
Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Goblet of Fire,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince
R.I.P.D.,I Am Wrath,Romeo Is Bleeding,The Man,Hot Fuzz,Code of Honor
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: Dead Man's Chest,The Pirate,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: At World's End,The Pirates! In an Adventure with Scientists!
The Hunger Games: Mockingjay - Part 1,9,The Hunger Games: Catching Fire,The Hunger Games: Mockingjay - Part 2,The Hunger Games,The Maze Runner
The Da Vinci Code,Angels & Demons,The Relic,November,A Walk Among the Tombstones,Snow White: A Deadly Summer
Rio 2,Jungle Shuffle,Curious George,The Jungle Book 2,Rio,George of the Jungle
X2,X-Men,X-Men: The Last Stand,X-Men Origins: Wolverine,X-Men: First Class,X-Men: Days of Future Past
Fast Five,The Fast and the Furious,2 Fast 2 Furious,Bullet to the Head,Stone Cold,Now You See Me 2
Sherlock Holmes: A Game of Shadows,Sherlock Holmes,Silver Medalist,Amidst the Devil's Wings,Nighthawks,The Adventures of Rocky & Bullwinkle
Clash of the Titans,Wrath of the Titans,Percy Jackson & the Olympians: The Lightning Thief,The Grace Card,Noah,Immortals
Total Recall,Red Planet,Divergent,Mad Max Beyond Thunderdome,The Helix... Loaded,Terminator Genisys
The 13th Warrior,Lawrence of Arabia,Red Tails,Letters from Iwo Jima,Silver Medalist,Puss in Boots
The Bourne Legacy,Jason Bourne,The Bourne Supremacy,Hitman,Killers,The November Man
Batman & Robin,Batman,Batman,Batman Forever,Batman Begins,The Dark Knight Rises
How the Grinch Stole Christmas,Christmas with the Kranks,Krampus,A Charlie Brown Christmas,The Santa Clause,Scrooged
The Day After Tomorrow,I Am Legend,Nighthawks,Alvin and the Chipmunks: The Road Chip,The Green Inferno,Laws of Attraction
Mission: Impossible II,Mission: Impossible,Mission: Impossible III,Ballistic: Ecks vs. Sever,The Sentinel,The November Man
The Perfect Storm,Winnie Mandela,Redemption Road,Abandoned,Supercross,Frances Ha
Fantastic 4: Rise of the Silver Surfer,Fantastic Four,Iron Man 2,The Incredible Hulk,The Day After Tomorrow,Green Lantern
Life of Pi,Silver Medalist,Deep Rising,"Crouching Tiger, Hidden Dragon",The Indian in the Cupboard,All Is Lost
Ghost Rider,Ghost Rider: Spirit of Vengeance,Jackass: The Movie,The Outsiders,On the Waterfront,Jackass Number Two
Jason Bourne,Safe House,The Bourne Ultimatum,The November Man,The Bourne Legacy,Malone
Charlie's Angels: Full Throttle,Charlie's Angels,Did You Hear About the Morgans?,Silver Medalist,The Helix... Loaded,30 Minutes or Less
Prometheus,U.F.O.,Titan A.E.,The 5th Wave,Battlefield Earth,X-Men: Days of Future Past
Stuart Little 2,Stuart Little,Curious George,Ernest & Celestine,The Tale of Despereaux,My Big Fat Greek Wedding 2
Elysium,Creature,Lost in Space,Atlas Shrugged Part III: Who is John Galt?,Armageddon,Space Battleship Yamato
The Chronicles of Riddick,Death Race 2000,Undisputed,Prometheus,The Time Machine,Fortress
RoboCop,"I, Robot",Virtuosity,Brick Mansions,Chappie,Beverly Hills Cop II
Speed Racer,Nicholas Nickleby,Turbo,Ta Ra Rum Pum,Pride and Glory,The Master of Disguise
How Do You Know,Summer Catch,The Benchwarmers,Lars and the Real Girl,The Rules of Attraction,The Four Seasons
Knight and Day,Silver Medalist,Cars 2,The Helix... Loaded,Johnny English,30 Minutes or Less
Oblivion,Escape from the Planet of the Apes,Silent Running,Star Trek: The Motion Picture,Pacific Rim,Pandorum
Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode I - The Phantom Menace,Return of the Jedi,Star Wars: Clone Wars: Volume 1,Star Wars
Star Wars: Episode II - Attack of the Clones,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode I - The Phantom Menace,Star Wars: Clone Wars: Volume 1,The Empire Strikes Back,The Legend of Suriyothai
"Monsters, Inc.",Monsters University,Return to Never Land,The Kids Are All Right,Monster House,"Yours, Mine and Ours"
The Wolverine,X-Men Origins: Wolverine,X-Men,X-Men: Days of Future Past,X2,Teenage Mutant Ninja Turtles III
